Date;Open;High;Low;Last Close;Chg.%;Total Value;Total Volume
06/26/2009;18.823;19.061;18.256;18.504;+0.49%;17,727,146;948,83
06/29/2009;18.315;19.101;18.295;19.101;+3.23%;23,337,055;1,239,034
06/30/2009;19.221;19.380;18.922;19.131;+0.16%;30,894,709;1,610,427
07.01.2009;18.992;19.678;18.992;19.270;+0.73%;22,532,090;1,166,109
07.02.2009;19.270;19.320;18.504;18.743;-2.74%;37,151,793;1,971,640
07.03.2009;18.594;18.693;18.206;18.405;-1.80%;14,742,135;798,994
07.06.2009;18.355;18.355;17.907;17.947;-2.49%;20,954,326;1,156,256
07.07.2009;17.907;18.435;17.559;17.907;-0.22%;38,249,512;2,122,835
07.08.2009;17.589;17.808;17.141;17.340;-3.17%;33,823,346;1,928,876
07.09.2009;17.410;17.708;17.360;17.430;+0.52%;47,292,804;2,694,098
07.10.2009;17.559;17.708;17.301;17.301;-0.74%;14,431,157;824,613
07/13/2009;17.410;18.186;16.923;18.047;+4.31%;17,918,450;1,019,558
07/14/2009;18.504;18.952;18.315;18.574;+2.92%;37,803,537;2,028,424
07/15/2009;18.902;19.997;18.793;19.997;+7.66%;41,620,645;2,146,001
07/16/2009;19.897;20.395;19.629;20.395;+1.99%;56,115,056;2,814,765
07/17/2009;20.375;20.574;19.668;19.947;-2.20%;37,472,205;1,875,048
07/20/2009;19.907;20.584;19.708;19.748;-1.00%;25,085,655;1,239,498
07/21/2009;19.897;21.031;19.758;20.942;+6.05%;53,019,616;2,582,573
07/22/2009;21.091;21.121;20.295;20.424;-2.47%;33,468,736;1,618,577
07/23/2009;20.444;20.962;20.395;20.962;+2.63%;34,861,140;1,684,599
07/24/2009;20.633;21.668;20.613;21.479;+2.47%;39,926,795;1,866,407
07/27/2009;21.688;21.986;21.190;21.738;+1.20%;38,687,659;1,783,002
07/28/2009;21.877;22.265;20.504;20.504;-5.68%;47,864,099;2,240,947
07/29/2009;20.494;21.389;20.196;21.389;+4.32%;37,535,883;1,802,255
07/30/2009;22.086;23.479;21.768;23.091;+7.95%;126,608,993;5,603,049
07/31/2009;23.071;24.474;23.001;24.364;+5.51%;115,928,619;4,830,409
08.03.2009;24.275;25.488;23.976;25.200;+3.43%;82,273,650;3,286,351
08.04.2009;25.618;25.767;24.593;25.160;-0.16%;93,803,011;3,727,208
08.05.2009;25.200;26.264;25.001;26.264;+4.39%;106,214,536;4,089,570
08.06.2009;26.722;28.105;26.722;28.005;+6.63%;133,299,440;4,802,920
08.07.2009;27.956;27.956;25.896;27.856;-0.53%;80,997,981;2,987,020
